word,hungary_public_ed_dev_strategy_2004_en.pdf,estonia-higher-education-strategy-2006-2015.pdf,ireland_national_skills_stratgey_2025.pdf,norway_secondary_education.pdf,armenia_educational_national_plan.pdf,strategic_framework_cz20301.pdf,czech_republic_framework_education_programme_for_basic_education.pdf,bosnia-and-herzegovina_priorities_for_2016_-_2026_higher_education_development_in_bih_eu.pdf,albania-education-strategy-2004-2015.pdf,ireland_strategy_statement.pdf,croatia_education_sector_development_plan_2005-2010.pdf,moldova_r_seqa-esg-national-action-plan_rm_final_engl.pdf,czech_republic_higher_education_strategic_plan_2021.pdf,ireland_national-strategy-for-higher-education-2030-implementation-plan.pdf,georgia_consolidated_education_strategy_and_action_plan_2007-2011.pdf,moldova_education_plan2006-2008.pdf,denmark_better_education_action_plan.pdf,netherlands_quality_agreements_2019-2024.pdf,ireland_department-of-education-and-skills-strategy-statement-2016-2019.pdf,netherlands_quality_in_diversity_strategy.pdf,estonia_youth_work_strategy_2006-2013.pdf,lithuania_ed_improvement_project_2002-2005.pdf,montenegro_strategy_for_the_development_of_higher_education_2016-2020.pdf,reportsstategy-statementdepartment-of-education-and-skills-statement-of-strategy-2015-2017.pdf,moldova_consolidated_strategy_ed-dev_2011-2015.pdf,ireland_statement-of-strategy-2019-2021.pdf
concern,8,0,2,1,1,9,7,0,3,4,2,3,10,2,3,0,9,6,1,30,10,1,3,0,0,1
aim,26,2,14,4,7,7,30,4,1,7,24,7,52,0,13,3,38,7,14,20,23,6,9,3,4,13
support,37,25,170,30,9,176,19,23,44,165,31,31,307,20,44,7,13,3,116,27,12,2,14,28,30,47
initi,19,14,48,5,1,10,3,6,10,29,9,10,20,8,42,6,57,4,15,32,5,0,5,7,28,11
design,18,0,19,5,1,7,8,2,27,7,8,13,15,12,36,5,13,0,2,14,0,0,2,1,5,4
process,27,5,30,8,18,61,68,17,85,53,33,70,70,27,37,6,7,9,15,63,8,6,34,7,53,5
progress,12,0,46,0,7,12,6,6,5,62,4,14,6,12,0,6,6,10,42,23,0,0,10,12,4,26
facilit,18,0,12,15,0,9,7,0,11,12,4,2,8,8,5,1,0,1,5,12,7,0,6,1,2,1
necessari,32,4,3,3,6,95,43,9,17,10,21,7,34,6,6,7,12,1,4,34,3,2,49,1,2,1
deploy,2,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,1
earmark,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0
within,22,8,51,9,19,37,66,0,14,36,10,20,42,15,24,18,44,1,14,37,2,5,20,2,7,8
state,19,54,22,2,141,139,63,1,7,24,22,13,19,3,30,8,1,2,8,14,18,2,6,3,30,3
budget,7,8,1,1,26,21,4,22,29,0,8,2,13,3,25,9,1,5,5,36,7,0,8,0,11,0
identifi,15,0,36,2,1,12,103,6,12,27,1,8,12,14,14,1,4,0,9,5,1,1,5,0,15,3
framework,25,5,58,8,3,87,78,18,23,47,6,50,16,21,30,15,18,1,27,25,4,1,8,8,79,8
document,14,3,4,3,3,54,36,5,6,3,9,16,42,0,1,5,10,5,4,3,9,1,4,0,14,2
white,2,0,0,3,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
paper,2,0,8,4,0,6,8,0,4,7,0,1,0,0,5,0,1,0,0,29,3,0,3,2,0,0
encourag,11,1,23,2,0,20,16,1,16,3,20,6,5,4,11,1,6,0,2,12,2,2,11,1,1,2
dialogu,2,0,12,6,0,3,12,4,5,2,0,1,1,14,0,0,2,2,1,1,0,0,1,1,5,0
stakehold,7,0,21,6,0,1,0,9,20,15,2,28,1,1,2,0,4,6,21,5,1,0,5,4,0,12
system,207,27,96,1,94,121,63,15,86,65,144,24,72,28,85,49,75,32,54,84,8,23,49,35,165,43
valu,12,3,11,1,3,50,63,0,2,7,5,4,22,0,3,1,5,0,9,10,4,0,2,8,12,10
achiev,22,6,20,7,5,43,24,10,18,35,16,21,30,6,16,2,17,11,29,62,5,9,32,6,19,22
hungarian,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
far,9,0,2,0,0,7,1,1,4,0,0,0,4,0,3,0,13,1,0,7,0,0,0,0,0,0
well,39,4,28,7,13,60,57,7,20,11,37,16,32,4,34,4,31,2,9,20,6,2,55,2,8,3
best,7,0,13,2,3,1,6,5,7,14,2,2,6,0,3,0,7,0,48,13,1,1,7,3,0,7
tradit,6,1,2,0,1,16,21,0,3,1,5,0,2,0,0,1,4,0,0,0,1,0,2,0,1,2
it,39,2,61,5,2,110,52,1,23,27,17,11,13,2,11,1,73,6,14,51,3,8,17,1,2,12
must,33,15,10,23,0,124,42,2,3,3,13,11,54,13,2,0,212,0,7,154,0,0,8,0,3,1
howev,6,0,21,1,7,51,2,0,8,0,4,6,30,0,18,0,8,0,11,26,1,3,1,1,5,0
also,36,12,106,12,9,237,34,4,24,27,30,21,98,7,16,2,36,16,39,211,10,3,21,1,6,5
offer,19,4,16,4,6,4,28,0,16,0,6,8,30,3,21,0,36,2,0,90,1,0,13,0,13,4
solut,8,0,1,0,4,34,24,1,0,0,1,4,12,0,0,0,6,0,0,1,0,0,1,0,0,0
everyon,1,0,2,7,0,6,0,0,0,1,2,2,0,0,0,0,2,0,1,1,0,0,0,2,0,0
conduc,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meet,13,0,22,0,5,15,17,3,3,42,10,18,23,5,11,0,19,1,11,3,3,5,4,5,2,11
challeng,6,0,20,10,0,15,1,0,3,8,7,6,3,0,6,0,17,0,16,54,4,0,6,7,3,15
st,3,0,9,0,1,1,1,0,1,0,0,0,6,1,0,3,3,0,2,3,0,0,1,1,4,1
centuri,3,0,8,0,2,4,3,0,0,0,1,0,6,0,0,0,0,0,0,4,0,0,1,1,0,1
doubl,1,0,4,0,0,0,1,0,2,0,0,0,0,0,1,0,4,0,2,4,0,0,0,0,2,0
keep,4,1,3,1,0,11,4,0,1,0,1,1,6,1,1,0,1,2,0,3,0,0,2,0,0,0
trend,2,3,24,0,0,31,4,0,2,6,6,2,13,0,8,0,0,0,2,1,9,1,9,0,28,0
inspir,1,0,0,1,0,2,6,0,0,0,0,0,3,0,0,0,5,0,1,5,0,0,0,0,0,1
account,15,13,23,1,2,25,11,2,28,11,7,11,33,12,13,0,3,3,12,21,3,2,13,13,4,2
divid,3,1,0,0,0,7,20,0,0,0,1,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0
two,14,1,8,0,5,7,23,2,6,1,3,5,13,5,16,5,3,1,1,16,3,0,4,0,10,0
